_contact,_email,_fax,_tel,_website,business_address,business_category,business_id,business_name,business_tel,details_html
amy,cotton7758@live.cn,,90780827,http://gratiabeauty.com.au/,589 glen huntly rd elsternwick vic 3185,Beauty & Skin,10353,左玺美美容养生公馆,90780827,"<p class=""details"">Welcome to the Gratia's Beauty Centre!<br>
<br>
The Gratia's Beauty is a professional beauty and health care centre.<br>
<br>
At here, you will start a new healthy path to maintain your beauty from within.<br>
<br>
So contact us today at 03 9078 0827 or info@gratiabeauty.com.au<br>
<br>
欢迎来到左玺美美容养生公馆！<br>
<br>
左玺美美容养生公馆是一家专业从事美容养生会所。<br>
<br>
在这里，您将享受到一段新的由内到外心身美丽的历程。<br>
<br>
欢迎来电咨询！电话：03 9078 0827。或发邮件至：info@gratiabeauty.com.au。<br><br></p>"
Kerri Gravina,kerrigravina.yomedia@gmail.com,,0451 468 863,https://kerrigravinasalon.com.au/,"Suite 803, 220 Collins Street, Manchester Unity building, Melbourne VIC 3000",Beauty & Skin,10665,Kerri Gravina Salon,0451 468 863,"<p class=""details""><img src=""Photo_links/Melbourne/10665_V1.png"" class=""logo"" width=""105"" alt=""Kerri Gravina Salon Company Logo"">Gorgeous hair starts here! Nominated as one of Melbourne’s 10 best hairstylists, Kerri’s aesthetic approach creates fashion forward sexy hair. Created and inspired by beauty.<br><br></p>"
,,,03 9639 6063,,"Level 1, 241-245 Lonsdale Street, Melbourne VIC 3000",Beauty & Skin,8797,Mollyfuns & Milkeepop美丽会美甲,03 9639 6063,"<p class=""details""><img src=""Photo_links/Melbourne/8797.jpg"" class=""logo"" width=""105"" alt=""Mollyfuns &amp; Milkeepop美丽会美甲 Company Logo"">美丽会美甲是一家经营多年的知名中高档日韩系光疗专业美甲。他们提供上千种颜色和种类的美甲装饰和贴纸，上万种日韩本土美甲款式推荐，保证你一定可以选到最适合你也最闪亮的那一款。<br>
他们一直采用最先进的技术手法，擅长各类3D立体分雕和设计，每一位美甲师都有十多年的丰富经验，手法娴熟，创意独到，并且热情周到，十分友善。店主更是具有日本和北京通过专业课程培训的资格证书，从业多年，一直受到爱美的美眉们欢迎。<br>
经过全新的装修之后，美丽会更是升级了他们的场所设施，店内环境温馨可爱，也很安静。大大的粉色公主椅让你有公主一般的享受，在做指甲的同时也得到休憩和满足。通过升级，他们也增加了美容服务，专设的私人美容室让你能在彻底的放松中享受美丽哦！为了方便各位美眉，他们也开始出售各种流行的日韩美妆护肤品，价格很公道哦！<br>
营业时间：12pm-9pm Open 7 Days<br><br></p>"
Annabelle,annabelle@annajo.com.au,annajo98909888,03 9890 9888,,"4/38 Prospect Street, Box Hill, VIC 3128",Beauty & Skin,9956,Anna Jo 医学美容中心,03 9890 9888,"<p class=""details"">门店介绍：Anna Jo医美中心的第一家门店位于华人区Box Hill，总面积460多平方米，包括美容房，Spa水疗室和无菌注射室共十一个房间，是墨尔本目前规模最大最专业的医疗美容中心。门店选址幽静，装修舒适，并且配备多种高端仪器可以全方位的迎合客户的变美需求。<br>
 <br>
 <br>
  Anna Jo所有美容师均有至少两年以上从业经验并且经过严格培训和考核，承诺给您带来最舒适的美容体验。除了美容美体项目，我们更是拥有墨尔本著名注册医生和护士来负责微针和精密仪器部分，我们承诺要给您最专业最安全的变美旅程。<br>
<br>
服务项目：<br>
在AnnaJo我们提供最全面的美容项目，包括传统的面部护理，仪器护理（包括：提拉紧致，祛皱，祛斑，瘦身，嫩肤），水光补水嫩肤，时光倒流系列，微整形系列。<br>
 <br>
  特色项目：<br>
•	水光针－做一个如水般的女人<br>
•	时光针－在脸上重现时光倒流的魔术<br>
•	超声刀－无创拉皮术<br>
•	RF射频技术－即刻紧致提升，享受走红毯般的注目<br>
•	E光嫩肤－即刻美白嫩肤，女明星的秘密神器<br>
•	小气泡深层清洁－不做“污”女人<br>
•	皮秒激光－天下无“斑”<br>
•	二氧化碳激光仪－点阵、去痣，做个无暇女人<br>
•	减肥瘦身仪－哪里胖就瘦哪里！<br>
•	尊享水疗香薰SPA－去除疲劳，一身轻松<br>
•	私密护理－爱他就紧紧抱住他<br>
•	微整形－不动刀也能美美哒<br>
<br>
门店地址：4/38 Prospect Street, Box Hill, Vic3128<br>
电话：03 9890 9888<br><br></p>"
,,,03 9017 3213,http://www.crescentnailsalon.com.au,"Shop 8, Level 1 Fashion Park Shopping Centre, 168 Russell St, Melbourne VIC 3000",Beauty & Skin,8787,Crescent Nail Salon,03 9017 3213,"<p class=""details""><img src=""Photo_links/Melbourne/8787.jpg"" class=""logo"" width=""105"" alt=""Crescent Nail Salon Company Logo"">Crescent Nail Salon是将日本当下最新的美甲潮流带入墨尔本的领军者。在电视电影音乐影视中所见到的日本明星美甲这里都可以做到，原版图案，精致闪亮。<br>
 Crescent Nail Salon使用的产品都是高品质品牌产品，美甲师技艺娴熟，都有很深的艺术功底。他们即借鉴潮流，也有自主设计，图案丰富多样，有性感的，华丽的，可爱的，也有现代抽象的元素。无论是手部还是脚部，Crescent Nail Salon都准备好了让你目不暇接的美甲图案以供选择。如何装点你的纤纤玉手，交给他们不会错。<br>
营业时间：Mon-Sat: 11am-9pm; Sun: 12pm-7pm<br><br></p>"
,,,0425 421 986,,"912 Whitehorse Road, BoxHill VIC 3128",Beauty & Skin,8798,范西美妆,0425 421 986,"<p class=""details""><img src=""Photo_links/Melbourne/8798.jpg"" class=""logo"" width=""105"" alt=""范西美妆 Company Logo"">FANCY LIFE COSMETICS主营日本、韩国、台湾、欧美化妆品，护肤品以及美妆工具。主要品牌包括：我的美丽日记，恋爱魔镜，我的心机，雪肌精，KOSE，ETUDE HOUSE, SKIN FOOD，THE FACE SHOP,SLEEK,MEMEME,SOLONE，NARS水芝澳等。紧跟时代潮流，网络红人ARORA，小蛮，小腻腻等推荐的产品均有销售。本店所有产品价格都有标注，低价看得到。开业短短几个月以来以其低廉的价格，优质的服务，新鲜的产品受到大量客户的好评。为了回馈广大消费者的喜爱，FANCYLIFE会再接再厉，打造全墨尔本最低价的实体店。 <br>
营业时间：10am-7pm 7天营业<br><br></p>"
,,,0419092141,,"241 Harbour Esplanade, Docklands VIC 3008",Beauty & Skin,8775,夏日森林尚品馆,0419092141,"<p class=""details""><img src=""Photo_links/Melbourne/8775.jpg"" class=""logo"" width=""105"" alt=""夏日森林尚品馆 Company Logo"">AT17逆转时光极致修复超薄蚕丝面膜，采用独家进口配方，汇集了10多种精华，逐步舒缓的改善肤质，真正塑造柔嫩白皙、素颜惊喜的美颜。<br>
为什么选择AT17面膜：<br>
 <br>
1. 高端产品，真正改善。10多种梦想精华，独家配方，真正能够深层改善肤质。<br>
 <br>
2. 无需天天敷，懒人必选。皮肤需要改善的期间，3天敷一片即可，在使用一段时间后，皮肤达到满意改善，根据自身需要减少频率保持保养即可。因为不含重金属和激素，皮肤改善后停止敷面膜或换产品也不会产生肤质迅速反弹和副作用。但风吹日晒化妆品腐蚀和时光荏苒之下，如果不保持保养，皮肤自然会有一些变化的，保养是一个需要长久坚持的事情，那么既然都要保养，为何不选择简单有效又绿色健康的AT17呢。<br>
 <br>
3、价格适中，良心产业。比起市面上的大牌产品，这款面膜连一半的价格都不到，效果超级惊艳。可以算个简单的帐，市面上一片面膜10块的面膜，减去包装几块，减去层层原料利润成本，减去厂家利润，减去经销商利润，贴在脸上的精华素就2毛，没效果的面膜多为无效乳液，效果好的成分可想而知。一分钱一分货就是这个道理。真正爱惜自己皮肤爱惜美丽的亲们，好好算算账，想想清楚，慎重选择护肤品。AT17面膜不含任何毒副物质，极致美颜，付出真正高成本打造明星面膜。<br>
 <br>
4. 面膜内容精华可以日用。皮肤得到满意改善后，面膜中的精华甚至可以作为日用精华护理使用，每天睡前配合晚霜抹一点，保持肌肤好状态。一款媲美精华的面膜，替代精华的面膜，真正塑造柔白美肌的面膜，值得尝试！<br>
 <br>
5. 彻底告别底妆，打造完美素颜。皮肤问题太多太多，痘痘、暗黄、斑点、干燥、毛孔粗大、敏感红血丝等等等等，这些问题无非都是风吹日晒、使用保养产品成分不当引起的。这导致现在的多数女性非常依赖于化妆品，而化妆品更不同于保养品，里面存在的重金属成分是很大的，而且是行业允许和化妆品产生效果的一个正常状态，在化妆品的腐蚀后，再使用未知成分的保养品去“改善”，这就是一个极大的恶性循环，这就是现在女性各自苦恼于皮肤问题而始终得不到结果的直接原因。AT17面膜真正安全绿色的滋养肌肤，逐步改善改变肤质，从内而外的改变气色，从而逐渐塑造告别底妆的素颜美肌！让您的肌肤开始进入一个良性循环！远离毒素！美得长久！美得安心。<br>
使用方法：卸妆并清洁面部后，取出中间层蚕丝面膜，使面膜与脸部皮肤完全贴合。待精华液充分渗透，面膜呈乳白色时即取下 。无需清洗，配合适当按摩并进行日常眼霜、面霜保养即可。切勿敷面膜过夜，建议每周使用2-3次。<br><br></p>"
,,,03 9654 9010,,"Shop Level 1 QV SC, 43 / 45 Coner Lonsdale Street & Swanston Street, Melbourne VIC 3000",Beauty & Skin,8800,Hairhouse Warehouse QV,03 9654 9010,"<p class=""details""><img src=""Photo_links/Melbourne/8800.jpg"" class=""logo"" width=""105"" alt=""Hairhouse Warehouse QV Company Logo"">Hairhouse Warehouse是由一位非常受欢迎的美发师Joseph和一位精明的商人Tony于1992年创办的一站式美发用品零售店。凭借Joseph在美发行业22年的经验和Tony在零售业30年的经验，两人集思广益，致力于将Hairhouse Warehouse打造成一个可以满足大家所有要求的美容美发用品店。<br>
 除了提供来自所有主要品牌的全方位专业护发产品，Hairhouse Warehouse同时还提供美发，穿孔和美容等各类专业服务。<br>
 Hairhouse Warehouse一直以来都确保每一家店面里都有一位高水准的发型师，以保证每一位客人都可以享受高质量的美发服务以及建议。他们提供专业美发产品包括：高档洗发水，护发素，电子美发产品，接发产品以及护甲美甲产品。 <br>
  自从第一家的Hairhouse Warehouse在Knox City开张以后，它迅速成长，至今在澳大利亚的各个地方已经拥有超过130家店面了。而且公司成立以来，还获得了许多不同的奖项，其中包括最近获得的2011 BRW最成功的私企奖以及FCA既定的特许奖项等等。<br>
airhouse Warehouse还将计划不断扩大，预计在澳大利亚会增加到200多家专卖店，并且在未来的五年内，向全世界进军。Lattouf兄弟公司扮演着重要的角色并为其感到自豪，因为公司始终有能力在紧跟国际美发趋势的同时为客人提供最专业的美发服务和建议，还能以低廉的价格为大家提供高端的美发产品。<br>
营业时间：Mon–Wed 9.00am–6.30pm, Thur 9.00am–8.00pm, Fri 9.00am–9.00pm, Sat 10.00am–6.30pm, Sun 11.00am–6.30pm<br><br></p>"
,,,0469 197 989,,"Level 7, 180 Bourke Street, Melbourne VIC 3000",Beauty & Skin,8804,Miss You美妆美甲店,0469 197 989,"<p class=""details""><img src=""Photo_links/Melbourne/8804.jpg"" class=""logo"" width=""105"" alt=""Miss You美妆美甲店 Company Logo"">MissYou店在墨尔本创办至今已经有五年历程了（美甲一年），价美物廉的日本美妆品和优质的日本美甲服务让MissYou已经拥有上千位忠实的会员。<br>
 MissYou拥有多种知名的彩妆品牌，以日本的彩妆为主打。彩妆品牌包括：资生堂，KOJI，KATE，KISS ME，SOFINA，ORBIS，PAUL&amp;JOE, KOSE等。<br>
  MissYou的美甲服务也非常专业，他们的光疗树脂植甲使用的都是从美国和日本进口的胶，光疗美甲有保持时间长，色彩丰富等优点。MissYou的美甲师都是来自香港和台湾的全职专业美甲师，精通各种款式的美甲：法式，渐变，毛衣，针织，新娘甲，贴钻，扎染，镂空等。MissYou的美甲服务包括：手部护理，软胶上色，光疗彩绘，凝胶延长，3D粉雕，卸甲等。MissYou为避免顾客长时间的等待，需要使用微信预约。<br>
MissYou除了美甲美妆，还销售各种减肥药，丰胸产品，彩妆工具和护肤品：SANA, 肌研，JUJU，石泽研究所，ROSETTE，佑天兰等。<br>
营业时间：12pm-6pm，其他时间段需提前预约<br><br></p>"
,,,03 9898 9430,,"Shop 25A, Centro boxhill 17 Market St, Box Hill VIC 3128",Beauty & Skin,8821,倩美美容,03 9898 9430,"<p class=""details""><img src=""Photo_links/Melbourne/8821.jpg"" class=""logo"" width=""105"" alt=""倩美美容 Company Logo"">倩美美容是一家拥有二十多年经验的老资历美容店。无论是环境，卫生，服务，产品，在数年如一日的认真经营中积累了良好的声誉。七年连续荣获区卫生局五星级奖，2011年被评为全区金奖第一名，这些荣誉都印证了倩美的用心。<br>
近期，为答谢新老顾客对倩美美容的厚爱，特别重量推出“黑脸娃娃”，这个项目利用高科技镭射配合纳米炭粉，速效改善肤质，美白亮肤，增强弹性，平衡油脂，深层清洁并且淡化痘印。同时也隆重推出美国FDA权威认证的超级像束激光嫩肤，还您新生儿般的肌肤，一举攻克七大肌肤问题。<br>
倩美美容同时也提供无痛飘眉，无痛润唇，自然纹眼线的服务。他们二十几年的专业经验能够帮助您拥有最适合您的美丽计划，让您永久地享受美丽。他们十年的祛痣祛斑经验也能无痛无印，快速淡化，不留疤痕地令您的肌肤完美无瑕。<br>
美体方面倩美美容的特色仪器真空纤体减肥仪被誉为减肥新奇迹，使用真空负压，射频碎脂，红光溶脂，深层燃脂四大高科技瘦身技术，采用机械式滚轮，专业，安全，高效地减肥，同时也减去您的后顾之忧。倩美经营的各项美容产品也都是长年以来获得持续好评的产品。最新的瑞士无针渗透填充科技疗程适合任何肤质，安全有效地美化您的肌肤。<br>
他们拥有和善认真的员工，拥有温馨卫生的环境，拥有经过澳洲高级美容协会AAPT注册的高级美容师和激光治疗师。他们将一如既往，以最合理的价格，最好的服务为顾客带来最靓的享受。<br>
服务范围<br>
脸部护理<br>
采用国际品牌护肤品，配合先进仪器及专业技术针对个人设计疗程，达到最佳效果。护理系列包括：渗透式清洁，阳离子喷雾，特效去死皮，真空吸黑头，高频电波消炎，法式按摩面、颈、肩部，微电波精华素导入（选项）特效眼膜，滋润补水，营养美白面膜加导膜。<br>
脸部基础护理，敏感修复护理，深层水分护理，暗疮油性护理，香薰排毒美白祛黄气，Bio骨胶原蛋白护理，专业换肤，钻石水晶磨皮，钻石水晶磨皮＋超声波精华素，新式电眼睫，韩式嫁接睫毛<br>
 <br>
美体护理<br>
背部减压按摩，全身舒缓按摩，香薰美体护理，减肥瘦身疗程，背部护理，高科技徽光能丰胸，蜡疗 (女士 &amp; 男士) 一次性蜡，不重复使用，小腿脱毛，小腿＋比基尼脱毛，全腿脱毛，全腿＋比基尼脱毛，大腿脱毛，3／4腿脱毛，普通比基尼脱毛，Ｇ比基尼脱毛，巴西式全脱毛，全手臂脱毛，半手臂脱毛，腋下脱毛，修眉，唇毛或下巴，两颊脱毛，全脸脱毛，后背脱毛，胸部脱毛，胸部＋腹部脱毛，肩部脱毛。<br>
 <br>
手脚护理<br>
普通修甲，普通修趾，脚部按摩<br>
 <br>
特殊服务<br>
宴会化妆，新娘化妆，祛黑痣，打耳洞(包括耳钉) ，打鼻环 (包括鼻钉) ，耳烛淋巴排毒 <br>
 <br>
特殊套餐<br>
1. 放松套餐：背部与肩部按摩, 面部芳香疗法<br>
2. 头部至足部护理套餐：面部芳香疗法, 修甲与手部护理, 温泉修脚<br>
3. 豪华套餐：香薰美体护理, 豪华面部护理, 脚部按摩, 修眉<br>
 <br>
倩美永久性化妆<br>
立体仿真绣眉，纹上下眼线，绣唇线或全唇<br>
 <br>
I.P.L.永久脱毛<br>
软雷射彩光，永久减少至去除腋毛，唇毛，比基尼腑毛，腿毛等。安全无副作用，不损皮肤汗腺。（澳洲政府批准之安全合格仪器及专业培训人员）<br>
 <br>
I.P.L.彩光（脉冲光）治疗<br>
镭射脉冲光能清除雀斑，红血丝，淡化黑脸圈眼袋，平复皱纹，收缩毛孔，去暗疮及印，安全特效。增强皮肤弹性，重返青春，让皮肤年轻5至7岁（澳洲政府批准之安全合格仪器及专业培训人员）<br><br></p>"
